STT;Mã số sinh viên;Họ lót;Tên;Ngày sinh;Mã lớp;Tên lớp;Điện thoại;Email;Quê quán;Ghi chú
1;18130013;Trần Phương;Anh;21/12/1898;DH18DTC;Công nghệ thông tin C;394570754;18130013@st.hcmuaf.edu.vn;Long An;Null
2;18130014;Võ Văn;Anh;21/12/1899;DH18DTC;Công nghệ thông tin C;394572756;18130014@st.hcmuaf.edu.vn;Long An;Null
3;14130157;Trần Huy;Bảo;21/12/1900;DH14DTB;Công nghệ thông tin B;394574759;18130015@st.hcmuaf.edu.vn;Long An;Null
4;18130019;Nguyễn Hữu;Cảnh;21/12/1901;DH18DTA;Công nghệ thông tin A;394576762;18130013@st.hcmuaf.edu.vn;Long An;Null
5;18130024;Nguyễn Văn;Cương;21/12/1902;DH18DTC;Công nghệ thông tin C;394578765;18130013@st.hcmuaf.edu.vn;Long An;Null
6;16130315;Phạm Hồng Công;Danh;21/12/1903;DH16DTC;Công nghệ thông tin C;394580768;18130013@st.hcmuaf.edu.vn;Long An;Null
7;16130332;Nguyễn Văn;Dũ;21/12/1904;DH16DTA;Công nghệ thông tin A;394582771;18130013@st.hcmuaf.edu.vn;Long An;Null
8;18130056;Lê Hoài Nhật;Duy;21/12/1905;DH18DTA;Công nghệ thông tin A;394584774;18130013@st.hcmuaf.edu.vn;Long An;Null
9;18130037;Vũ Thành;Đạt;21/12/1906;DH18DTB;Công nghệ thông tin B;394586777;18130013@st.hcmuaf.edu.vn;Long An;Null
10;16130349;Đỗ Hoàng;Giang;21/12/1907;DH16DTA;Công nghệ thông tin A;394588780;18130013@st.hcmuaf.edu.vn;Long An;Null
11;18130061;Nguyễn Thị;Giang;21/12/1908;DH18DTA;Công nghệ thông tin A;394590783;18130013@st.hcmuaf.edu.vn;Long An;Null
12;18130063;Phạm Văn;Hà;21/12/1909;DH18DTC;Công nghệ thông tin C;394592786;18130013@st.hcmuaf.edu.vn;Long An;Null
13;18130066;Phạm Triệu;Hải;21/12/1910;DH18DTA;Công nghệ thông tin A;394594789;18130013@st.hcmuaf.edu.vn;Long An;Null
14;16130358;Trần Thị Ngọc;Hân;21/12/1911;DH16DTB;Công nghệ thông tin B;394596792;18130013@st.hcmuaf.edu.vn;Long An;Null
15;16130384;Võ Văn;Hiếu;21/12/1912;DH16DTC;Công nghệ thông tin C;394598795;18130013@st.hcmuaf.edu.vn;Long An;Null
16;16130400;Trần Minh;Hùng;21/12/1913;DH16DTC;Công nghệ thông tin C;394600798;18130013@st.hcmuaf.edu.vn;Long An;Null
17;18130126;Nguyễn Kiều;Linh;21/12/1914;DH18DTA;Công nghệ thông tin A;394602801;18130013@st.hcmuaf.edu.vn;Long An;Null
