STT;Mã sinh viên;Họ lót;Tên ;Ngày sinh;Mã lớp;Tên lớp;Điện thoại liên lạc;Email;Quê quán;Ghi chú
1;17130058;Vũ Như;An;02/21/1999;DH17DT;Công nghệ thông tin;0785678467;17130058@st.hcmuaf.edu.vn;Xã Đồng Tân , Huyện Ứng Hòa , Thành phố Hà Nội;
2;17130059;Nguyễn Lan;Anh;05/11/1999;DH17DT;Công nghệ thông tin;0254367689;17130059@st.hcmuaf.edu.vn;Xã Minh Tân , Huyện Lương Tài , Tỉnh Bắc Ninh;
3;17130060;Huỳnh Minh;Anh;12/23/1999;DH17DT;Công nghệ thông tin;0578678989;17130060@st.hcmuaf.edu.vn;Xã An Thái , Huyện Quỳnh Phụ , Tỉnh Thái Bình;
4;17130061;Hồ Thanh;Bảo;06/19/1999;DH17DT;Công nghệ thông tin;0856876584;17130061@st.hcmuaf.edu.vn;Xã Liêm Thuận , Huyện Thanh Liêm , Tỉnh Hà Nam;
5;17130062;Ngô Hoài;Bình;02/25/1999;DH17DT;Công nghệ thông tin;0546787587;17130062@st.hcmuaf.edu.vn;Xã Đông Lĩnh , Thành phố Thanh Hóa , Tỉnh Thanh Hóa;
6;17130063;Nguyễn Lan;Chi;05/19/1999;DH17DT;Công nghệ thông tin;0986346536;17130063@st.hcmuaf.edu.vn;Đường 339 , Phường Phước Long B , Quận 9 , Thành phố Hồ Chí Minh;
7;17130064;Lý Đức;Cường;11/20/1999;DH17DT;Công nghệ thông tin;0567698898;17130064@st.hcmuaf.edu.vn;Xã Bình Hòa , Huyện Tây Sơn , Tỉnh Bình Định;
8;17130065;Diệp Tư;Dương;06/08/1999;DH17DT;Công nghệ thông tin;0967976899;17130065@st.hcmuaf.edu.vn;Xã Bình Thuận , Huyện Tây Sơn , Tỉnh Bình Định;
9;17130066;Phan Lê;Đức;05/05/1999;DH17DT;Công nghệ thông tin;0698797896;17130066@st.hcmuaf.edu.vn;Phường Hóa An , Thành phố Biên Hòa , Tỉnh Đồng Nai;
10;17130067;Nguyễn Ngọc;Dung;03/28/1998;DH17DT;Công nghệ thông tin;0679876979;17130067@st.hcmuaf.edu.vn;Phường Nhơn Hưng , Thị xã An Nhơn , Tỉnh Bình Định;
11;17130068;Mai Hoàng ;Dương;03/01/1999;DH17DT;Công nghệ thông tin;0987976898;17130068@st.hcmuaf.edu.vn;Xã Xuân Quang 3 , Huyện Đồng Xuân , Tỉnh Phú Yên;
12;17130069;Hồ Thanh;Duy;10/09/1999;DH17DT;Công nghệ thông tin;0897978999;17130069@st.hcmuaf.edu.vn;Xã An Mỹ , Huyện Tuy An , Tỉnh Phú Yên;
13;17116008;Trương Thị;Duyên;03/09/1999;DH17NY;Ngư y;0679880969;17116008@st.hcmuaf.edu.vn;Phường Cam Phúc Nam , Thành phố Cam Ranh , Tỉnh Khánh Hòa;
14;17116009;Nguyễn Thị;Giang;01/06/1999;DH17NY;Ngư y;0568756861;17116009@st.hcmuaf.edu.vn;Xã Cam Hiệp Nam , Huyện Cam Lâm , Tỉnh Khánh Hòa;
15;17116010;Nguyễn Minh;Hiếu;02/28/1999;DH17NY;Ngư y;0567858568;17116010@st.hcmuaf.edu.vn;Xã Quảng Sơn , Huyện Ninh Sơn , Tỉnh Ninh Thuận;
16;17116011;Lê Ngân;Hồng;10/08/1999;DH17NY;Ngư y;0678769798;17116011@st.hcmuaf.edu.vn;Khu phố 4 , Thị trấn Tân Sơn , Huyện Ninh Sơn , Tỉnh Ninh Thuận;
17;17116012;Phan Lê;Huy;03/09/1999;DH17NY;Ngư y;0769878999;17116012@st.hcmuaf.edu.vn;Xã Gia An , Huyện Tánh Linh , Tỉnh Bình Thuận;
18;17116013;Dương Cẩm ;Linh;03/24/1999;DH17NY;Ngư y;0696797967;17116013@st.hcmuaf.edu.vn;Xã Hòa Phú , Huyện Chư Păh , Tỉnh Gia Lai;
19;17116014;Mai Quế;Loan;06/10/1998;DH17NY;Ngư y;0986848589;17116014@st.hcmuaf.edu.vn;Thôn 4 , Xã Ia Tô , Huyện Ia Grai , Tỉnh Gia Lai;
20;17116015;Đình Văn;Minh;09/27/1999;DH17NY;Ngư y;0598989687;17116015@st.hcmuaf.edu.vn;Xã Hòa Khánh , Thành phố Buôn Ma Thuột , Tỉnh Đắk Lắk;
21;17116016;Nguyễn Như;Ngọc;07/14/1999;DH17NY;Ngư y;0698769789;17116016@st.hcmuaf.edu.vn;Phường Khánh Xuân , Thành phố Buôn Ma Thuột , Tỉnh Đắk Lắk;
22;17116017;Lê Ngân;Nguyên;08/29/1999;DH17NY;Ngư y;0679868658;17116017@st.hcmuaf.edu.vn;Lũy Bán Bích , Phường Hiệp Tân , Quận Tân Phú , Thành phố Hồ Chí Minh;
23;17116018;Phan Phi;Nhung;08/15/1999;DH17NY;Ngư y;0969679879;17116018@st.hcmuaf.edu.vn;Xã Ea KPam , Huyện Cư M'gar , Tỉnh Đắk Lắk;
24;17116019;Nguyễn Thúy ;Phương;01/06/1997;DH17NY;Ngư y;0679889679;17116019@st.hcmuaf.edu.vn;Phường Bình Thọ , Quận Thủ Đức , Thành phố Hồ Chí Minh;
25;17116020;Phạm Bảo;Quyên;09/17/1999;DH17NY;Ngư y;0585686586;17116020@st.hcmuaf.edu.vn;Thị trấn Kiến Đức , Huyện Đắk R'Lấp , Tỉnh Đắk Nông;
26;17118823;Trần Đình;Sơn;03/30/1999;DH17AV;Ngôn ngữ Anh;0890908709;17118823@st.hcmuaf.edu.vn;Phường 5 , Thành phố Đà Lạt , Tỉnh Lâm Đồng;
27;17118824;Hà Minh;La;12/23/1999;DH17AV;Ngôn ngữ Anh;0679876979;17118824@st.hcmuaf.edu.vn;Thôn 5 , Xã Đại Lào , Thành phố Bảo Lộc , Tỉnh Lâm Đồng;
28;17118825;Nguyễn Tấn;Tài;07/01/1999;DH17AV;Ngôn ngữ Anh;0897089079;17118825@st.hcmuaf.edu.vn;Xã Nghĩa Thành , Huyện Nghĩa Hưng , Tỉnh Nam Định;
29;17118826;Lỗ Văn;Tấn;07/20/1999;DH17AV;Ngôn ngữ Anh;0908790780;17118826@st.hcmuaf.edu.vn;Xã Lộc Hiệp , Huyện Lộc Ninh , Tỉnh Bình Phước;
30;17118827;Nguyễn Lan;Trinh;03/22/1999;DH17AV;Ngôn ngữ Anh;0765576744;17118827@st.hcmuaf.edu.vn;Xã Phước Minh , Huyện Bù Gia Mập , Tỉnh Bình Phước;
;;;;;;;;;;
