STT;MSSV;Họ lót;TÊN;Ngày sinh;Mã lớp;Tên lớp;DT liên lạc;Email;Quê quán;Ghi chú
1;17130001;Nguyễn Thị;Hằng;1999-05-02;DH17DTB;Công nghệ thông tin B;965569568;hang123@gmail.com;Cát Hanh, Phù Cát, Bình Định;
2;17130002;Nguyễn Thi Thuý;Hằng;1999-06-03;DH17DTA;Công nghệ thông tin A;335655896;hang111@gmail.com;Khối 3, Thị Trấn La Hà, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi;
3;17130003;Nguyễn Minh;Hiếu;1998-05-06;DH17DTB;Công nghệ thông tin B;221545444;hieu1231231@gmail.com;Hoà Ninh, Hoà Vang, Đà Nẵng;
4;17130004;Lê Tấn;Hoàng;1997-09-08;DH17DTC;Công nghệ thông tin C;223526662;hoangasdasd@gmail.com;Bình Hòa, Tây Sơn, Bình Định;
5;17130005;Tô Thái;Học;1999-09-07;DH17DTA;Công nghệ thông tin A;155236547;hoc13213@gmail.com;Cát Tài, Phù Cát, Bình Định;
6;17130006;Nguyễn Ngọc;Hồng;2000-05-08;DH17DTB;Công nghệ thông tin B;325665412;hong424q@gmail.com;Hòa Thuận Tây,  Hải Châu, Đà Nẵng;
7;17130007;Đặng Quốc;Hùng;2001-09-07;DH17DTC;Công nghệ thông tin C;252526252;hung4777@gmail.com;Vĩnh Trung, Thanh Khê, Đà Nẵng;
8;17130008;Ngô Trà;Hưng;1998-08-03;DH17DTA;Công nghệ thông tin A;211412146;hung8798@gmail.com;Thôn Cỗ Lũy Bắc, Xã Nghĩa Phú, Huyện Tư Nghĩa, Tỉnh Quảng Ngãi;
9;17130009;Nguyễn Tấn;Huy;1999-01-01;DH17DTB;Công nghệ thông tin B;989658562;huy11241@gmail.com;Phước Bửu, Xuyên Mộc, Bà Rịa - Vũng Tàu;
10;17130010;Phạm Minh;Huy;1997-09-08;DH17DTC;Công nghệ thông tin C;215447869;huy123as@gmail.com;Loan Đông, Hoà Phong, Hoà Vang, Đà Nẵng;
11;17130011;Phan Lê;Huy;1999-09-07;DH17DTC;Công nghệ thông tin C;333256325;huy123123@gmail.com;Hiệp Lợi, Định Quán, Đồng Nai;
12;17130012;Mai Quốc Lâm;Khang;2000-05-08;DH17DTB;Công nghệ thông tin B;325563259;khang7845@gmail.com;Thôn An Bình, Xã Nghĩa Kỳ, Huyện Tư Nghĩa, TỈnh Quảng Ngãi;
13;17130013;Nguyễn Nguyên;Khang;2001-09-07;DH17DTC;Công nghệ thông tin C;233256235;khang8663@gmail.com;Khuê Trung, Cẩm Lệ, Đà Nẵng;
14;17130014;Phạm Duy;Khánh;1998-08-03;DH17DTA;Công nghệ thông tin A;233252632;khanh78455@gmail.com;Suối Nghệ,Suối Nghệ, Châu Đức, Bà Rịa - Vũng Tàu;
15;17130015;Hà Ngọc;Kiên;1999-01-01;DH17DTB;Công nghệ thông tin B;233256325;kien132sss@gmail.com;Long Đức, Long Thành, Đồng Nai;
16;17130016;Nguyễn Thị Hồng;Loan;1999-06-03;DH17DTC;Công nghệ thông tin C;211545236;loan@gmail.com;Hòa Thuận Đông, Hải Châu, Đà Nẵng;
17;17130017;Phan Văn;Luận;1998-05-06;DH17DTC;Công nghệ thông tin C;21152135;luan131231@gmail.com;Phú Xuân, Tân Phú, Đồng Nai;
18;17130018;Lý Đức;Mạnh;1997-09-08;DH17DTA;Công nghệ thông tin C;215532015;manh87498846@gmail.com;Hoà Khánh Bắc, Liên Chiểu, Đà Nẵng;
19;17130019;Võ Đức;Mạnh;1999-09-07;DH17DTC;Công nghệ thông tin C;222132523;manh78789898@gmail.com;Long Thọ, Nhơn Trạch, Đồng Nai;
20;17130020;Mai Văn;Minh;2000-05-08;DH17DTC;Công nghệ thông tin C;355632556;minh8656561@gmail.com;Thạc Gián, Thanh Khê, Đà Nẵng;
